condition,protocol,trial,stream_id,completion_ms,spread_ms
lossy,tcp,12,3,79.10012500360608,2.083000013954006
lossy,tcp,13,0,130.8822919963859,0.011666008504107594
lossy,tcp,13,1,130.88741699175444,0.011666008504107594
lossy,tcp,13,2,130.89066700194962,0.011666008504107594
lossy,tcp,13,3,130.89395800489,0.011666008504107594
lossy,tcp,14,0,114.51095799566247,0.009625000529922545
lossy,tcp,14,1,114.5159580046311,0.009625000529922545
lossy,tcp,14,2,114.51862500689458,0.009625000529922545
lossy,tcp,14,3,114.52058299619239,0.009625000529922545
lossy,tcp,15,0,409.9406249879394,0.010250005288980901
lossy,tcp,15,1,409.94579199468717,0.010250005288980901
lossy,tcp,15,2,409.94874999159947,0.010250005288980901
lossy,tcp,15,3,409.95087499322835,0.010250005288980901
lossy,tcp,16,0,51.61025001143571,4.185499987215735
lossy,tcp,16,1,51.61745801160578,4.185499987215735
lossy,tcp,16,2,52.55054100416601,4.185499987215735
lossy,tcp,16,3,55.795749998651445,4.185499987215735
lossy,tcp,17,0,52.39508299564477,3.170167008647695
lossy,tcp,17,1,52.403666995815,3.170167008647695
lossy,tcp,17,2,52.407957991817966,3.170167008647695
lossy,tcp,17,3,55.565250004292466,3.170167008647695
lossy,tcp,18,0,80.77220899576787,1.5589579998049885
lossy,tcp,18,1,82.32462499290705,1.5589579998049885
lossy,tcp,18,2,82.3287090024678,1.5589579998049885
lossy,tcp,18,3,82.33116699557286,1.5589579998049885
lossy,tcp,19,0,278.3605829899898,0.01750000228639692
lossy,tcp,19,1,278.3686670009047,0.01750000228639692
lossy,tcp,19,2,278.373916997225,0.01750000228639692
lossy,tcp,19,3,278.3780829922762,0.01750000228639692
lossy,tcp,20,0,67.48145799792837,6.3599999994039536
